ID,Park,Word_count,Sentiment_value,Polarity,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
386,TMNP,9,0,Neutral,0,0,0,0,1,0,0,0
387,TMNP,18,1,Positive,0,0,0,0,2,0,0,0
388,TMNP,13,0,Neutral,1,1,0,1,1,1,1,0
389,TMNP,6,0,Neutral,0,0,0,0,1,0,0,0
390,TMNP,17,-1,Negative,0,0,0,0,1,0,0,0
391,TMNP,2,0,Neutral,0,0,0,0,0,0,0,0
392,TMNP,5,0,Neutral,0,0,0,0,0,0,0,0
393,TMNP,2,-1,Negative,1,0,0,1,0,0,0,0
394,TMNP,5,0,Neutral,0,0,0,0,0,0,0,0
395,TMNP,1,0,Neutral,0,0,0,0,0,0,0,0
396,TMNP,4,0,Neutral,0,0,0,0,1,0,0,0
397,TMNP,0,0,Neutral,0,0,0,0,0,0,0,0
398,TMNP,9,1,Positive,0,0,0,0,1,0,0,0
399,TMNP,17,0,Neutral,1,0,1,1,2,1,0,0
400,TMNP,4,0,Neutral,0,0,0,0,1,0,0,0
401,TMNP,10,2,Positive,0,0,0,0,1,0,0,1
402,TMNP,1,0,Neutral,0,0,0,0,0,0,0,0
403,TMNP,2,1,Positive,0,0,0,0,0,0,0,0
404,TMNP,1,0,Neutral,0,0,0,0,0,0,0,0
405,TMNP,5,0,Neutral,0,0,0,0,0,0,0,0
406,TMNP,2,0,Neutral,0,0,0,0,0,0,0,0
407,TMNP,7,1,Positive,0,0,0,0,1,0,0,0
408,TMNP,4,1,Positive,0,1,0,0,0,0,0,0
409,TMNP,15,3,Positive,0,3,0,0,3,0,2,3
410,TMNP,5,0,Neutral,0,0,0,0,0,0,0,0
411,TMNP,5,0,Neutral,0,0,0,0,0,0,0,0
412,TMNP,2,-1,Negative,0,0,1,0,0,1,0,0
413,TMNP,8,0,Neutral,0,0,0,0,0,0,0,0
414,TMNP,4,0,Neutral,0,0,0,0,1,0,0,0
415,TMNP,2,0,Neutral,0,0,0,0,0,0,0,0
416,TMNP,3,0,Neutral,0,0,0,0,0,0,0,0
417,TMNP,8,2,Positive,0,2,0,0,2,0,2,2
418,TMNP,4,-1,Negative,0,0,1,0,0,0,0,0
419,TMNP,7,0,Neutral,0,0,0,0,0,0,0,0
420,TMNP,4,0,Neutral,0,0,0,0,0,0,0,0
421,TMNP,3,0,Neutral,0,0,0,0,0,0,0,0
422,TMNP,22,4,Positive,0,2,0,0,4,0,0,0
423,TMNP,25,0,Neutral,0,0,0,0,0,0,0,0
424,TMNP,7,0,Neutral,0,1,0,0,0,0,1,0
425,TMNP,21,1,Positive,0,0,0,0,0,0,0,2
426,TMNP,8,0,Neutral,0,0,0,0,0,0,0,0
427,TMNP,8,2,Positive,0,2,0,0,2,0,2,2
428,TMNP,8,2,Positive,0,2,0,0,2,0,2,2
429,TMNP,4,1,Positive,0,1,0,0,1,0,0,1
430,TMNP,2,0,Neutral,0,0,0,0,0,0,0,0
431,TMNP,5,0,Neutral,0,0,0,0,0,0,0,0
432,TMNP,8,0,Neutral,0,0,0,0,1,0,0,0
433,TMNP,6,0,Neutral,0,0,0,0,1,0,0,0
434,TMNP,8,0,Neutral,0,0,0,0,1,0,0,0
435,TMNP,6,0,Neutral,0,0,0,0,1,0,0,0
436,TMNP,7,1,Positive,0,0,0,0,0,0,0,0
437,TMNP,3,-1,Negative,0,0,0,0,0,0,0,0
438,GRNP,7,0,Neutral,0,0,0,0,0,0,0,0
439,GRNP,7,0,Neutral,0,0,0,0,0,0,0,0
440,GRNP,7,1,Positive,0,0,0,0,0,0,0,1
